image_id,path_label,maturation_score,proposed_correction_label,reason
KO_09437,METAMYELOCYTE,0.25004459847936367,MYELOCYTE,"score 0.250 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09438,METAMYELOCYTE,0.47469394354478006,BAND,"score 0.475 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09454,METAMYELOCYTE,0.24425844324336518,MYELOCYTE,"score 0.244 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09457,METAMYELOCYTE,0.24425088567881037,MYELOCYTE,"score 0.244 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09471,METAMYELOCYTE,0.49134704014291436,BAND,"score 0.491 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09472,METAMYELOCYTE,0.243752458109253,MYELOCYTE,"score 0.244 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09480,METAMYELOCYTE,0.4527316370339743,BAND,"score 0.453 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09484,METAMYELOCYTE,0.24547363687835327,MYELOCYTE,"score 0.245 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09489,METAMYELOCYTE,0.22923186016595398,MYELOCYTE,"score 0.229 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09498,METAMYELOCYTE,0.4280190103784107,BAND,"score 0.428 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09501,METAMYELOCYTE,0.43322480677246145,BAND,"score 0.433 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09511,METAMYELOCYTE,0.44673673237441686,BAND,"score 0.447 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09543,METAMYELOCYTE,0.44410332584571605,BAND,"score 0.444 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09552,METAMYELOCYTE,0.21947999007839405,MYELOCYTE,"score 0.219 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09557,METAMYELOCYTE,0.4269217520827541,BAND,"score 0.427 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09567,METAMYELOCYTE,0.2547411424501658,MYELOCYTE,"score 0.255 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09588,METAMYELOCYTE,0.24083982515602048,MYELOCYTE,"score 0.241 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09593,METAMYELOCYTE,0.4388561038026712,BAND,"score 0.439 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09613,METAMYELOCYTE,0.19623921548299914,MYELOCYTE,"score 0.196 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09620,METAMYELOCYTE,0.4647203080411335,BAND,"score 0.465 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09633,METAMYELOCYTE,0.4890258550950603,BAND,"score 0.489 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_09653,METAMYELOCYTE,0.24421670744390578,MYELOCYTE,"score 0.244 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
KO_09680,METAMYELOCYTE,0.5068088463792408,BAND,"score 0.507 > p90(METAMYELOCYTE)=0.424, within p10(BAND)=0.399"
KO_11078,MYELOCYTE,0.46030221027746215,METAMYELOCYTE,"score 0.460 > p90(MYELOCYTE)=0.441, within p10(METAMYELOCYTE)=0.255"
KO_11099,MYELOCYTE,0.47092101523158164,METAMYELOCYTE,"score 0.471 > p90(MYELOCYTE)=0.441, within p10(METAMYELOCYTE)=0.255"
KO_11105,MYELOCYTE,0.4494917337933928,METAMYELOCYTE,"score 0.449 > p90(MYELOCYTE)=0.441, within p10(METAMYELOCYTE)=0.255"
KO_11145,MYELOCYTE,0.47726927057683377,METAMYELOCYTE,"score 0.477 > p90(MYELOCYTE)=0.441, within p10(METAMYELOCYTE)=0.255"
KO_12341,NEUTROPHIL,0.35373861512822535,BAND,"score 0.354 < p10(NEUTROPHIL)=0.377, within p90(BAND)=0.716"
KO_12308,NEUTROPHIL,0.3683453522277029,BAND,"score 0.368 < p10(NEUTROPHIL)=0.377, within p90(BAND)=0.716"
KO_12281,NEUTROPHIL,0.3645542347583128,BAND,"score 0.365 < p10(NEUTROPHIL)=0.377, within p90(BAND)=0.716"
